Time (s),Normalized Current
11.7,0.00915903413821815
11.7,0.008159866777685263
11.8,0.007493755203996671
11.8,0.006661115736885928
11.9,0.005995004163197334
11.9,0.0053288925895087404
12.0,0.004829308909242297
12.0,0.004163197335553704
12.1,0.0036636136552872602
12.1,0.0031640299750208167
12.2,0.0026644462947543733
12.2,0.002164862614487924
12.3,0.0016652789342214804
12.3,0.001165695253955037
12.4,0.000832639467110743
12.4,0.0004995836802664436
12.5,0.0
12.5,-0.0001665278934221497
12.6,-0.0006661115736885933
12.6,-0.0009991673605328872
12.7,-0.0013322231473771866
12.7,-0.0014987510407993363
12.8,-0.0018318068276436301
12.8,-0.0021648626144879298
12.9,-0.002331390507910074
12.9,-0.0026644462947543733
13.0,-0.0028309741881765173
13.0,-0.0031640299750208167
13.1,-0.0033305578684429665
13.1,-0.0036636136552872602
13.2,-0.0036636136552872602
13.2,-0.00399666944213156
13.3,-0.004163197335553704
13.3,-0.0043297252289758534
13.4,-0.004496253122398004
13.4,-0.004662781015820148
13.5,-0.004829308909242297
13.5,-0.004995836802664447
13.6,-0.005162364696086596
13.7,-0.005495420482930891
13.7,-0.005495420482930891
13.8,-0.00566194837635304
13.8,-0.00582847626977519
13.9,-0.005995004163197337
13.9,-0.006161532056619483
14.0,-0.006161532056619483
14.0,-0.0063280599500416335
14.1,-0.00649458784346378
14.1,-0.00649458784346378
14.2,-0.006661115736885928
14.2,-0.006827643630308077
14.3,-0.006827643630308077
14.3,-0.006994171523730224
14.4,-0.006994171523730224
14.4,-0.007160699417152374
14.5,-0.007160699417152374
14.5,-0.0073272273105745205
14.6,-0.007493755203996671
14.6,-0.007493755203996671
14.7,-0.007493755203996671
14.7,-0.007660283097418817
14.8,-0.007826810990840967
14.8,-0.007826810990840967
14.9,-0.007993338884263113
14.9,-0.007826810990840967
15.0,-0.007993338884263113
15.0,-0.007993338884263113
15.1,-0.007993338884263113
15.1,-0.007993338884263113
15.2,-0.00832639467110741
15.2,-0.00832639467110741
15.3,-0.00849292256452956
15.3,-0.00849292256452956
15.4,-0.00849292256452956
15.4,-0.00849292256452956
15.5,-0.00849292256452956
15.6,-0.008659450457951707
15.6,-0.008659450457951707
15.7,0.31390507910074933
15.7,0.4454621149042464
15.8,0.6386344712739384
15.8,0.7535387177352206
15.9,0.8201498751040798
15.9,0.8601165695253954
16.0,0.8834304746044961
16.0,0.900083263946711
16.1,0.9117402164862614
16.1,0.9184013322231475
16.2,0.9250624479600333
16.3,0.9300582847626978
16.3,0.9333888426311406
16.4,0.9367194004995837
16.4,0.9383846794338051
16.5,0.9417152373022482
16.5,0.9433805162364696
16.6,0.945045795170691
16.6,0.9467110741049124
16.7,0.948376353039134
16.7,0.9500416319733554
16.8,0.9517069109075769
16.8,0.9517069109075769
16.9,0.9533721898417985
16.9,0.9550374687760199
17.0,0.9567027477102414
17.0,0.9567027477102414
17.1,0.958368026644463
17.1,0.958368026644463
17.2,0.9600333055786844
17.2,0.9616985845129059
17.3,0.9616985845129059
17.3,0.9633638634471273
17.4,0.9633638634471273
17.4,0.9650291423813488
17.5,0.9650291423813488
17.5,0.9650291423813488
17.6,0.9666944213155704
17.6,0.9666944213155704
17.7,0.9683597002497918
17.8,0.9683597002497918
17.8,0.9700249791840133
17.9,0.9700249791840133
17.9,0.9700249791840133
18.0,0.9716902581182348
18.0,0.9716902581182348
18.1,0.9733555370524563
18.1,0.9733555370524563
18.2,0.9733555370524563
18.2,0.9750208159866777
18.3,0.9750208159866777
18.3,0.9750208159866777
18.4,0.9766860949208993
18.4,0.9766860949208993
18.5,0.9766860949208993
18.5,0.9783513738551207
18.6,0.9783513738551207
18.6,0.9783513738551207
18.7,0.9800166527893421
18.7,0.9800166527893421
18.8,0.9816819317235638
18.8,0.9816819317235638
18.9,0.9816819317235638
18.9,0.9816819317235638
19.0,0.9833472106577852
19.0,0.9833472106577852
19.1,0.9833472106577852
19.1,0.9850124895920066
19.2,0.9850124895920066
19.2,0.9850124895920066
19.3,0.986677768526228
19.3,0.986677768526228
19.4,0.986677768526228
19.4,0.9883430474604497
19.5,0.9883430474604497
19.5,0.9883430474604497
19.6,0.9900083263946711
19.6,0.9900083263946711
19.7,0.9900083263946711
19.7,0.9916736053288925
19.8,0.9916736053288925
19.8,0.9916736053288925
19.9,0.9916736053288925
19.9,0.9933388842631141
20.0,0.9933388842631141
20.0,0.9933388842631141
20.1,0.9950041631973355
20.1,0.9950041631973355
20.2,0.9950041631973355
20.3,0.996669442131557
20.3,0.996669442131557
20.4,0.996669442131557
20.4,0.996669442131557
20.5,0.9983347210657784
20.5,0.9983347210657784
20.6,0.9983347210657784
20.6,0.9983347210657784
20.7,1.0
20.7,1.0
20.8,1.0
20.8,0.46044962531223976
20.9,0.2589508742714404
20.9,0.1790174854288093
21.0,0.13905079100749376
21.1,0.09825145711906744
21.1,0.09025811823480433
21.2,0.07060782681099083
21.2,0.06361365528726061
21.3,0.05362198168193172
21.3,0.05095753538717736
21.4,0.042964196502914234
21.5,0.04113238967527061
21.6,0.035303913405495414
21.6,0.031806827643630305
21.7,0.028809325562031644
21.8,0.025478767693588672
21.8,0.024646128226477933
21.9,0.021981681931723562
22.0,0.020149875104079937
22.0,0.0186511240632806
22.1,0.016985845129059114
22.2,0.01565362198168193
22.3,0.013655287260616154
22.3,0.01315570358034971
22.3,0.012489592006661117
22.4,0.011823480432972523
22.4,0.010990840965861781
22.5,0.010491257285595338
22.5,0.009658617818484594
22.6,0.008326394671107408
22.6,0.008159866777685263
22.7,0.007993338884263113
22.7,0.007660283097418815
22.8,0.006994171523730227
22.8,0.006827643630308077
22.9,0.006494587843463778
22.9,0.006161532056619483
23.0,0.005828476269775184
23.0,0.005495420482930891
23.1,0.0053288925895087404
23.2,0.004995836802664447
23.2,0.004662781015820148
23.3,0.0043297252289758534
23.3,0.003996669442131554
23.4,0.0036636136552872602
23.4,0.0034970857618651105
23.5,0.0031640299750208167
23.5,0.002997502081598667
23.6,0.0026644462947543733
23.6,0.0024979184013322235
23.7,0.002164862614487924
23.7,0.0018318068276436301
23.8,0.0016652789342214804
23.8,0.0013322231473771866
23.9,0.0013322231473771866
23.9,0.0009991673605328872
24.0,0.0009991673605328872
24.0,0.0006661115736885933
24.1,0.0004995836802664436
24.1,0.0003330557868442939
24.2,0.0001665278934221497
24.3,0.0
24.3,0.0
24.4,-0.0003330557868442994
24.4,-0.0003330557868442994
24.5,-0.0004995836802664436
24.5,-0.0004995836802664436
24.6,-0.0006661115736885933
24.6,-0.000832639467110743
24.7,-0.0009991673605328872
24.7,-0.0009991673605328872
24.8,-0.001165695253955037
24.8,-0.0013322231473771866
24.9,-0.0013322231473771866
24.9,-0.0014987510407993363
25.0,-0.0014987510407993363
25.0,-0.0016652789342214804
